,id,label,d2v
3597,3862,1,"[-0.7225569  -0.6129679   0.4531814  -0.21729922 -1.3821903   0.02585907
  0.85915124  1.9117856  -0.46424255 -1.0531291 ]"
3598,3863,4,"[ 0.49352244  0.6161801   0.50712407  1.3595347   1.5448012   0.26803762
  0.8499136   0.12138181 -0.19719978 -0.89351004]"
3599,3864,2,"[ 0.40301028 -0.7966867   1.0796874  -0.8237229   0.6063527   0.24093409
  0.3307032   1.6603148  -0.76147586 -0.46536672]"
3600,3865,2,"[ 1.2288404  -0.18071118  0.9840084   0.35353428  0.36191833  0.821212
 -0.09870956  1.5510403   0.31628022 -0.55418664]"
3601,3866,2,"[ 1.0986232  -0.6905829   0.7437373   0.1798047   0.5862298  -0.19590525
  0.5177633   1.3625628   0.22106953 -0.8717817 ]"
3602,3867,2,"[ 0.8665829  -0.6474557   0.46692997  0.64401704  0.6211918  -0.10831878
  0.4398753   0.93984574  0.14061783 -0.91654557]"
3603,3868,4,"[ 1.011134    0.42833078  1.163362    1.4921098   0.1545589   0.28319177
  0.49913108  0.8881483  -0.01488687 -0.38762504]"
3604,3869,4,"[ 1.0679809  -1.0553427   1.4612595   0.5888971  -0.3695418   0.33126503
  0.10210858  0.6700166  -1.029617   -0.69953007]"
3605,3870,4,"[ 0.84625316 -0.12420078  0.5859488   1.3957998  -0.22019428  0.69449604
 -0.12955311  1.1324103  -0.54692715 -1.1588175 ]"
3606,3871,3,"[ 0.7627059   1.1152905   0.6197363   0.6484471  -0.36442295 -0.01184356
  0.08716498  1.6053405   0.4106573   0.1742971 ]"
3607,3873,1,"[ 0.84170604 -0.5978016   1.3340458   0.68157953  0.36739174  0.278048
  1.101714    2.11653    -0.24533491 -0.03543426]"
3608,3874,4,"[ 0.52774847  0.49105984  0.784229    1.3440233   1.3080401   0.7913374
  0.24306808 -0.0046699  -0.5438185  -0.69197637]"
3609,3875,1,"[ 1.2281952   0.6880721   0.39953443  0.7595479   0.7726444  -0.612387
  0.8296482  -0.84657836 -0.8974859  -1.414892  ]"
3610,3877,3,"[ 0.22295691 -0.9013823   1.3606153  -0.37647533 -0.34479815  0.20526712
 -0.07613974  1.9111698  -0.69787824 -0.08986201]"
3611,3878,4,"[ 1.3158858   0.3588943  -0.16181704  1.1558928   0.37172234 -0.02285896
  0.4375652   1.4830494  -0.1843689  -0.29686058]"
3612,3879,1,"[ 0.26590753 -0.30528182 -0.16640854  0.7349933   0.5601439   0.5164967
  1.1589227   1.1901286  -1.1482878  -0.6100041 ]"
3613,3880,2,"[ 1.3622772   0.37828717 -0.03739002 -0.18888177  0.02850132 -0.39841092
  1.0138745   1.1707015  -1.1594121   0.08832779]"
3614,3881,2,"[ 0.20310026  1.2540795   0.65467113  0.8856569   0.6788411   1.1359425
 -0.41212425  0.20810418 -0.14442417 -1.6049848 ]"
3615,3882,1,"[-0.54071355 -0.1282268   0.32007408  0.63144624 -0.5963776   0.4571822
  1.7468302   0.7609823  -1.173884    0.39251375]"
3616,3883,4,"[ 0.4620714   0.18032788  0.15066615  1.1551714   1.2405418   0.8521358
 -0.10972155  1.5373656   0.2558869  -1.4763976 ]"
3617,3884,4,"[ 0.90921867  0.86815184  0.46532327  0.86788493  1.1113303   0.43702886
  0.37441307  0.27286398 -0.00911185 -1.5496739 ]"
3618,3885,1,"[ 0.70596063 -0.16548057  0.7316384   0.9761841  -0.29606527  0.84985256
  0.5636498   1.1301656   0.3998407  -1.6187047 ]"
3619,3886,2,"[ 0.23959664  0.67178875  1.5441856   0.41672844 -0.24442734  0.7684639
  0.16378964  1.2038542  -0.8455784   0.14095174]"
3620,3887,3,"[-0.08982244 -1.0863975   0.6396409   0.3931072  -0.2968294   0.47448072
  1.2160622   1.1852497  -0.39794672 -1.452622  ]"
3621,3888,4,"[ 0.45239878  0.2220976   1.1183907   0.4154891  -0.25678173  0.743515
 -0.39386553  0.90825945 -0.91486967 -0.6361057 ]"
3622,3889,2,"[ 0.15527226 -0.12339278  0.77902675  0.20891733 -0.22719802 -0.43457517
  0.6999658   1.3573349  -0.17553791 -0.60527974]"
3623,3890,2,"[ 0.27048072 -0.58861244 -0.08735334  0.655638   -0.08195397  0.6442182
  0.743438    1.2663593  -0.96674913 -0.8876638 ]"
3624,3891,4,"[ 1.0091162   0.04483916  0.36771232  0.7252444  -0.58739585  0.20380692
 -0.6400079   1.7177056  -0.46233138 -1.1943536 ]"
3625,3892,2,"[-0.05625567 -0.12887304 -0.12107518 -0.03465537  0.28584442  0.45445776
  0.03223137  1.0834614  -0.520874   -1.9637245 ]"
3626,3893,4,"[ 0.49210727 -0.1534117   0.2809254   1.1948555   0.06693726  0.6081653
  0.5157885   1.2356125  -0.06448318 -0.9768295 ]"
3627,3894,2,"[ 0.41982123 -0.24722858  0.8285685   1.311233    0.00956309  0.6400793
  0.87621516  0.7478708  -0.3403461  -0.96111405]"
3628,3895,1,"[-1.1769967  -1.5357163   0.2877071   0.4003057  -0.70819604  0.14325398
  0.94944644  1.688899   -0.70867753 -1.5914202 ]"
3629,3896,2,"[ 1.3862965   0.4144686   0.18209974 -0.40288058  0.42122048 -0.6810099
 -0.26764598  2.3419354  -0.54240793 -0.6165761 ]"
3630,3897,1,"[ 0.1695671  -0.21831246  1.2412684   0.055216   -0.5271989   1.220616
  0.4030583   0.6651682  -1.4138079  -0.9107289 ]"
3631,3898,2,"[ 0.6549524  -0.15486205  1.354634    1.1646107  -0.35847178  1.244711
  0.10662436  1.2209048  -0.7060816  -0.6922232 ]"
3632,3899,2,"[ 0.8710571   0.20657234  1.139511    1.2311783  -0.24098246  1.5014371
  0.01643894  1.2132273  -0.3665072  -1.0106932 ]"
3633,3900,3,"[ 0.41175374 -2.0761223  -0.02289409  2.3557484  -0.5684134   0.15891184
  0.80484563  0.10971977 -0.8889186  -1.4629016 ]"
3634,3901,4,"[ 0.7475081  -0.3689439   1.3978714   0.57783586  0.17424062 -1.2952744
  0.7948983   1.318918    0.14672554 -0.48563245]"
3635,3902,2,"[ 0.07085694 -0.09384301  0.43819067 -0.31304312 -0.14274098  1.3350857
 -0.35552603  1.147982   -1.0621455  -2.135046  ]"
3636,3903,4,"[ 0.72274816  0.7939201   1.5673687   1.2059662   0.47773844  0.55586123
  0.42752388  0.66470957  0.06249769 -0.22941822]"
3637,3904,3,"[ 0.20973313 -1.3030963   1.7869262  -0.81503516 -0.55682    -0.18968092
  1.7338406   2.0328085   0.44788426  0.220333  ]"
3638,3905,1,"[ 0.09646086  0.38419357  0.69172466  1.2315246  -1.0097294  -1.1680806
  1.7856512   1.4499066   0.41955912  0.3499421 ]"
3639,3906,4,"[ 1.622343    1.9438155   0.7968324   1.2062863   2.248868    0.11539359
  0.47043675 -0.1488154  -0.22523558 -0.6291039 ]"
3640,3907,1,"[-0.2567005  -0.27946544  0.6181872   0.3510974  -0.24573325  0.65118164
  0.42192024  1.1525936  -0.39232704 -1.3444815 ]"
3641,3908,2,"[ 0.5645286  -0.92976195 -0.03251623  0.82213795  0.82774186 -0.9933128
  1.2200763   1.2624162  -1.4855962  -0.04889288]"
3642,3909,2,"[ 1.0214993  -0.29105955  0.25276062  0.1069101  -0.73073554 -0.27502817
  0.47556347  1.8560047  -0.20592546 -0.8734337 ]"
3643,3910,1,"[ 0.36607698  0.3127786   1.4470724   0.71964324  0.5227989   0.04408258
  0.7105471   1.1481032  -0.2946647  -0.28247216]"
3644,3911,2,"[ 0.48312855 -0.11404171  0.0653275   0.7032524   0.5554223  -0.20403495
  0.26434675  1.5231415  -0.24503101 -0.05683805]"
3645,3912,2,"[ 1.8457434  -0.46720216  1.410684    0.90064526  0.2541193   0.5697604
 -0.08593483  0.1979257  -0.1540803  -0.9169435 ]"
3646,3913,3,"[-0.187633   -0.7599651   1.1244441  -0.8406193  -2.2588305   0.36177132
  1.2258297   0.9638443  -1.6312128  -1.3763041 ]"
3647,3914,4,"[ 0.5815999  -0.5030883   1.1569359   0.82261705  0.62372774  0.8095633
 -0.42765343  1.3454914  -0.39212894 -0.438816  ]"
3648,3915,4,"[ 0.220169    0.2554788   0.7871081   1.1733271  -0.04803213  0.59644103
 -0.03576196  1.3021017   0.430899   -0.95953566]"
3649,3916,4,"[ 1.9502835   1.3555791   0.14884272  0.54541725  1.364185    0.11293928
  0.96818805 -0.8188439  -1.5044688  -0.69087154]"
3650,3917,1,"[ 0.7994841  -0.10347915  0.60529333  0.68884665  1.0903612  -0.34729418
  0.5730664   0.03360046 -0.6831685  -1.284789  ]"
3651,3918,2,"[ 1.5586112  -0.40546444  1.0341582   0.85679835 -0.46101272 -0.13063867
  0.3540552   0.8213061  -0.59343976  0.02922756]"
3652,3919,3,"[ 0.28725857 -0.5756792   0.25865215  1.414432   -0.348543   -0.17457637
  0.35759366  1.0819886   0.20793699 -1.72583   ]"
3653,3920,1,"[-0.8658154  -0.53886753  1.4709588   0.28855821 -0.9780921  -0.26578537
  1.0150871   1.7736531  -0.20089383 -1.1896883 ]"
3654,3921,4,"[ 0.33352342  0.9667887   1.2165078   1.3359599   0.74798065  0.53485554
  0.590943    0.7439217  -0.26207113 -0.18927643]"
3655,3922,2,"[ 0.07108893 -0.4345653   0.76486886  1.009763   -0.7529358   0.45902923
 -0.05954012  0.925088   -1.074586   -1.086692  ]"
3656,3923,3,"[-0.19929554 -0.07625251  1.0059744   1.9321278  -1.01149     0.71977866
 -0.39994392  1.7798469  -0.6059709  -0.04394326]"
3657,3924,3,"[-0.18527023 -0.9018268   0.7210478  -0.5937516  -1.1744629  -0.25473735
  0.8871586   0.9750812  -0.39295343 -1.6157379 ]"
3658,3925,1,"[-0.3321976   0.04261825  0.61491084 -0.4349906  -0.9069239   0.42530417
  0.8261182   0.8720088  -0.23745035 -1.8320004 ]"
3659,3926,3,"[-1.0160507   0.09722654  0.31511325 -0.13744855  1.1199777   0.2480157
  0.3982465   1.2125404  -0.28480178 -0.5260149 ]"
3660,3927,1,"[ 0.5161852   1.3413793   0.07793879  0.4035794  -0.8570869  -1.3133245
 -0.35887003  1.30713    -1.6133754  -1.3621716 ]"
3661,3928,2,"[ 0.49501947  0.00423023  0.937122    0.7726823  -0.15570907  0.11200624
 -0.10755037  1.240299   -0.8503888  -0.63138366]"
3662,3929,3,"[ 0.14901114  0.01167284  2.3943179   1.251495    0.24791735  0.79244316
  1.0662057  -0.50593346 -2.0124893   0.9657145 ]"
3663,3930,3,"[-1.0319844  -0.5240399  -0.07184616 -0.44658852 -1.1657846   0.46482894
  0.8541537   0.94572556 -1.2066268  -2.1002922 ]"
3664,3931,4,"[ 0.7765021  -0.3078342   0.15310772  0.30007735  0.6392534   1.0775938
 -0.08143482  0.5562272  -0.05781639 -0.6015355 ]"
3665,3932,4,"[ 1.6060419   0.263675    0.53012854  0.4071601  -0.06179226  0.26818255
 -0.20828013  0.6338013  -0.41536084 -1.5057752 ]"
3666,3933,3,"[ 0.22852604 -0.1442969   0.57924044  0.45115978 -0.33879235 -0.7678108
  1.2005508  -1.2381974  -2.24373    -1.3728542 ]"
3667,3934,4,"[ 1.0139267  -0.13779433  0.76453364  0.6645769  -0.02223852  1.0174657
 -0.15802881  1.6513789  -0.59698445 -0.39502597]"
3668,3935,2,"[ 0.7936678  -0.12414901  0.31808966  0.6628714   0.9365168  -0.22919343
 -0.19706814  0.9927875  -0.17405835 -0.4697427 ]"
3669,3936,4,"[ 0.3840087  -0.9421878   1.5290015   1.6553817  -0.9455905   0.16511129
  1.2211107  -0.9250976  -0.33633092 -1.8770076 ]"
3670,3937,2,"[ 0.6450325   0.66824186 -0.07965825  1.0208747   0.6665504   0.7481733
  1.4573576   1.4012017  -1.3790127   0.1408477 ]"
3671,3938,4,"[ 1.0186825  -0.6277515   1.1360986   0.0043634  -0.2705631   0.49542603
  0.6060704   0.8313121  -0.9441334  -0.50366884]"
3672,3939,4,"[-0.3722697  -0.3868039   1.3867509   0.22585467 -0.6671684   0.9318615
 -0.24070603  1.0151892  -1.4979081  -0.5291643 ]"
3673,3940,2,"[ 1.0600811   0.18467674  0.7633653   0.33215463  0.03669703 -0.8560983
 -0.20073803  1.4091161  -0.67296314 -0.17228222]"
3674,3941,2,"[ 0.6534058   0.25269225  0.4327335   0.9304078   0.29964975  0.64524364
  0.79292154  0.95736516 -0.1859971  -0.6217731 ]"
3675,3942,4,"[ 1.3188237  -0.50699705  1.8542027  -0.02680263  1.2354225   0.506266
  0.27850434  0.13831663 -0.31666753 -0.24527985]"
3676,3943,2,"[ 0.30736837  0.33919436  1.3649379   0.824795   -0.6675875   0.37126094
  0.7596808   1.1295235  -0.3211941  -0.7199376 ]"
3677,3944,4,"[ 1.9949441   2.2323558   0.39725366  0.57669747  1.1494672  -0.6553195
  0.9171111   0.8395514   0.21110341 -0.06143184]"
3678,3945,3,"[ 1.4645936e+00 -6.9549388e-01  6.3479930e-01  2.1316610e-01
  3.5766713e-02 -7.4339497e-01 -8.8963512e-04  1.5156928e+00
  3.0217960e-02 -1.5346062e-01]"
3679,3946,4,"[ 1.0125642  -0.29933047  1.143527    0.36229363 -0.09506647 -0.26474515
  0.5290831  -0.11629178 -0.4586191  -1.0080371 ]"
3680,3947,3,"[-0.88817674  0.21717338  0.92045206 -0.6626568  -1.1081462  -0.14875077
  1.7650772   0.8743371  -1.4395297  -0.03249285]"
3681,3948,2,"[ 0.84200484 -0.33300495  0.7412885   1.0281857   0.8752612   0.05002448
  0.5246041   0.79973626 -0.12557518 -0.45874813]"
3682,3949,3,"[-0.2535083  -0.1265629   0.31934217  0.17652935 -0.08153085  0.32062337
  0.3545764   1.5758339  -0.56848603 -1.5237391 ]"
3683,3950,2,"[ 1.5327896   0.67197937  0.4825471   0.88024306 -0.7795039  -0.83200234
 -0.36679855  0.50095755 -1.0626553  -0.90680695]"
3684,3951,4,"[ 2.907217   -0.42388496  1.0688255   0.86201745 -0.48208207  0.9975294
 -1.0423211   1.3315724   0.15641926  0.6004489 ]"
3685,3952,4,"[ 0.16633491  0.18104601  1.4220077   0.88550764 -0.47139966  0.04834688
  0.96257174  0.85850376  0.07082011 -0.66225743]"
3686,3953,4,"[ 0.40487298  0.04650272  0.26244217  1.0571929   0.46799734 -0.0858189
  1.154741    1.5412593  -0.7558838  -0.5307073 ]"
3687,3954,3,"[ 1.4725477   1.8363578   0.7198064   0.83473635  1.1289738  -0.7804261
  0.8959295  -0.33667976 -0.10246251 -0.91927296]"
3688,3955,3,"[ 0.20026827  0.11210598  2.2530408   0.77407724  0.02352424  0.04733203
  1.6344281   0.94334984  0.15815188 -0.372792  ]"
3689,3956,4,"[ 0.23192829  0.4870768   0.8090262   1.5651641  -0.3124791   0.5529426
  0.20088828  0.10430983 -0.5696345  -1.6215442 ]"
3690,3957,2,"[ 0.5467382  -0.47519195  0.93315303  1.0863419  -0.6042273   0.78650355
  0.21689886  1.1119779  -0.7465825  -0.8168379 ]"
3691,3958,2,"[ 2.1714816  -0.01835223  0.44274527  1.0638357  -0.09776419 -0.05819613
 -0.58957034  0.02664731 -0.36521345 -0.52718085]"
3692,3959,4,"[ 0.44190735  0.04348668  1.203017    0.76717305  0.6789445   0.36647356
  1.1670508   1.2222166  -0.36214936 -0.19799788]"
3693,3960,4,"[ 1.611769   -0.23687647  1.7339461   1.1945823  -1.0323803   0.6132494
  0.22863175 -0.23306541 -1.1533087  -0.33306134]"
3694,3961,4,"[ 0.934243   -0.5928783   1.3150036   1.4866474   0.7071864   1.4553938
  1.325566   -0.5409485  -0.4890686  -0.10038035]"
3695,3962,3,"[ 1.6842397e+00 -9.0755910e-01  1.0784501e+00 -5.7450111e-04
  6.2318593e-01  2.4643471e-02 -3.6774766e-01 -4.5379628e-03
 -2.8516939e-01 -5.5238312e-01]"
3696,3964,2,"[ 0.24219425  0.4292994   1.1000149   1.2389585  -1.0671002   0.6396776
 -0.44947016  0.452617   -1.1491919  -0.39875436]"
3697,3965,2,"[ 1.2881271  -1.341574    0.66274446  0.0704445   0.29670632 -0.18940875
  0.26936927  2.5572715   0.24127667 -0.329103  ]"
3698,3966,4,"[ 2.0532947   0.66962576  0.94750416  0.840865    1.9065866   0.30082452
 -0.13467388  0.17085023  0.19926436 -0.66389155]"
3699,3967,3,"[ 0.26455498  0.4643817   1.4509747  -0.46017134 -0.53881943  0.5574654
 -0.56682754  1.5545498  -0.45224223 -0.4162035 ]"
3700,3968,4,"[ 3.5028398e-01  7.5804144e-01  1.0751706e+00  5.1179200e-01
 -8.5407135e-04  8.1314504e-01  1.3001958e-01  7.6260114e-01
 -2.0188887e-01 -2.5603846e-01]"
3701,3969,4,"[ 0.966439    1.733242    1.0756235   0.7923485   0.12845977  0.20112897
  0.61857     0.19791065 -0.07416955 -0.87900186]"
3702,3970,4,"[-0.16493951  0.92599297  1.6499345   0.9131288   0.6799768   0.38400722
  0.5689559   0.50823575 -0.01151562  0.31300142]"
3703,3971,2,"[ 1.1707939  -0.581793    1.1105862   1.7260118   0.07680768  0.7145553
  0.1663658   0.5010048  -0.1688816  -0.9251226 ]"
3704,3972,2,"[ 0.23627982  0.04425281  0.18367715  0.7484508   0.6204892  -0.00278684
  0.18497823  1.317836   -0.44385418 -0.644432  ]"
3705,3973,2,"[ 0.813447    0.87641966  0.9565891   1.4521542   0.09390152 -0.7846858
  2.2380455   0.22965015  0.994098    0.12597328]"
3706,3974,4,"[ 0.52501124  0.43073505  1.127064    0.95214385 -0.60813916  0.48758772
  0.03720844  1.2210054  -0.8770719  -0.28769815]"
3707,3975,2,"[ 0.6559037   0.90889287  1.2037225   1.0861503  -0.3727097   0.1111193
  0.40922412  1.1986678  -0.33842215 -0.08417567]"
3708,3976,4,"[-0.4418584   2.2344851   2.1804414  -0.05164766  0.23172957  1.6735117
 -0.84368163 -0.2375712  -0.7029211   0.46597058]"
3709,3977,2,"[ 2.2257118  -0.3174954   0.93899596  0.2862357   0.5922279   1.6105009
 -0.48036522  0.8362972   0.19947456 -0.31068408]"
3710,3978,2,"[ 0.37073612  0.8777861   0.6366325   1.1940194   0.4551434  -0.18832721
  0.23229079  0.21454091 -0.5915754   0.20583664]"
3711,3979,3,"[ 1.2178153  -1.3449514   0.9323501   1.0134572  -1.8117768   1.1875036
  0.20502493  0.00851292 -0.96489084 -1.4314897 ]"
3712,3980,4,"[ 0.2610555  -0.02537582  1.1798631   0.22358897  0.04662712  0.1425813
  0.27357462  0.36937615 -1.1652932  -0.6968494 ]"
3713,3981,1,"[ 0.8112812   0.8247117   0.7005614   1.3557117   0.5718478  -0.18636478
  0.57873684  0.23822561 -1.1050441  -1.0820432 ]"
3714,3982,4,"[ 1.3573575   0.4812282   1.7579216   0.7072965   0.7159861   0.5426094
  0.27168956  0.3160852  -0.30913162  0.4023651 ]"
3715,3983,4,"[ 0.5506457  -0.13749677  0.9493756   0.7655335   0.88673925  0.0829228
  0.02603802  0.5310879  -0.17462379 -0.44430867]"
3716,3985,3,"[-0.38799533 -0.8717229   0.30235636  0.39401406 -0.32269746  0.7299525
  0.6511788   0.45464778 -1.2956744  -0.9406948 ]"
3717,3986,1,"[-0.53222483 -0.6652557   0.37080762  0.28745237  0.08308737  0.13865212
  0.85635644  1.5609286  -0.618439    0.13732442]"
3718,3987,3,"[-0.14808787 -0.24466962  0.63234     0.41049716 -0.35386303  0.43703133
  0.28350243  1.0064856  -1.3730897  -1.257115  ]"
3719,3988,4,"[ 0.6625047  -0.22807094  1.6903822   1.0042639   0.5062993   0.5787321
  0.73605716  0.23031466 -0.18303943  0.02370109]"
3720,3989,2,"[ 0.73137456  0.7702669   1.4439373   1.3685544  -0.13561964  0.6384868
 -0.12081127  0.24246724 -0.867908   -0.17159376]"
3721,3990,4,"[ 0.5991068   0.38354844  1.6849333   1.0910594  -0.22602576  0.41999575
  0.36152816  1.3319147   0.3108206   0.13645113]"
3722,3991,4,"[ 0.41608062 -0.02991431  0.5616166   1.0288283   0.31148443  0.19309697
  1.1993322   1.3188218  -0.22794767 -0.68232334]"
3723,3992,1,"[ 0.967288   -0.95393765  0.2350373   0.31287652  0.10780884 -0.054541
  0.659664    1.1484808   0.12026167 -1.037962  ]"
3724,3993,4,"[ 0.1510308  -0.2557607   0.54855675  0.6972161  -0.09019727  0.13965857
  0.596273    0.72953147 -0.98899937 -0.59054035]"
3725,3994,2,"[ 0.79815525 -0.02245274  1.146457    0.22959784  0.10336483  0.2996691
 -0.19390437  0.9024239  -0.6937722  -0.0213333 ]"
3726,3995,3,"[-0.2503499  -0.30481654  0.51657426  0.13718161  0.8097569   0.3399724
  0.8430641   1.4392183   0.514771   -0.35715947]"
3727,3996,2,"[ 0.46149027 -0.18399954  0.7876745  -0.7154404   0.6071112   0.42384535
  0.29884297  1.6338071  -0.5000886  -0.49291876]"
3728,3997,4,"[-0.25586912  0.0321498   0.66732186  0.6520998   0.5009318   0.7684668
  0.66769266  1.1528718  -0.37308222 -0.13558537]"
3729,3998,4,"[ 0.49838743  0.18210943  1.1665121   0.7653944   0.47989377  0.18737519
  0.46340546  1.0270224  -0.3422657  -0.10813867]"
3730,3999,2,"[ 0.2731906   0.02040975  1.2164989   1.4448644  -0.09322206 -0.13648595
  0.36292812  1.0931202   0.28707436 -0.5960037 ]"
3731,4000,4,"[ 1.3391593   1.5345556   0.4252367   2.0812457   1.8403314   0.32532933
  0.8236351  -0.18792243 -0.6420697  -0.72369295]"
3732,4001,2,"[ 1.6295652  -0.26886022  0.22463597  0.85343164  0.15036283 -1.4687014
 -0.5165262   1.8276039  -0.4201345  -0.90781766]"
3733,4002,2,"[ 1.3348979   0.16173556  1.6929111   0.4949674   0.53823334 -0.03702975
 -0.47766876  0.38830712 -0.8707025   0.8176525 ]"
3734,4003,2,"[ 0.5410591  -0.7333676   0.7714788  -0.30913624  0.18353783  0.6608969
  0.393864    1.6623776  -0.27057627 -1.4323372 ]"
3735,4004,4,"[ 0.8503762   1.298387    0.6531252   1.6203375  -0.26223567  0.376852
 -0.6552485   0.4530368   0.3466825  -1.3481988 ]"
3736,4005,4,"[ 0.90295595  1.7052524   0.93317765  1.6225982   0.593034    0.6520217
  0.7480846   0.35136822 -0.26572487 -0.28713578]"
3737,4006,1,"[ 0.41790283 -1.3922468   0.49745354  0.24635981  0.52449834  0.04835213
  1.2016505   0.37578556 -0.3010435  -0.47812682]"
3738,4008,3,"[-0.22946356  0.36695415  0.9786256   0.64924854 -1.045868    0.74777067
  0.43763602  1.2081827  -0.7655912   0.09650518]"
3739,4009,2,"[ 1.3775632  -0.5978058   0.31366742  0.5872068   0.02162495 -0.8892931
 -0.3188767   1.7470788  -0.15046133 -0.94123036]"
3740,4010,4,"[ 1.0258574   1.6301314   0.10304632  1.353486    1.2658247   0.9069214
 -0.1782725   0.33045745  0.30727705 -1.2060374 ]"
3741,4011,2,"[ 0.4842339   0.22856356 -0.11102065  1.1084341   0.50892806  0.19284609
  0.93804216  1.2574079  -0.79413074 -0.5071063 ]"
3742,4012,4,"[ 0.24959809 -0.20915544  0.8600882   0.28449723  0.23768212  0.06108272
  1.0732918   1.1763899  -0.9463644  -0.45560893]"
3743,4013,3,"[ 0.5390816  -0.707048   -1.1461762   1.0490552  -0.03022213 -1.3018856
  0.6562342   1.2165836  -1.6176364  -0.93917966]"
3744,4014,1,"[ 0.09160986 -0.35496345  0.44091013  0.08297814 -0.48801556 -0.04732526
  0.62699866  1.6590418  -0.0436715  -1.5635315 ]"
3745,4016,2,"[ 0.87764156  1.0476243   0.4290471   0.5829239  -0.43473765  0.8762397
  0.9078977   1.0749098  -0.21182357  0.03154841]"
3746,4017,1,"[ 0.6572897   0.7550047   1.3825718   1.7672343   0.56339496  0.45085886
  0.6740319  -0.5640064  -0.6693566  -1.4754213 ]"
3747,4018,1,"[ 1.6241359  -0.68448234  0.6763209  -0.6712299  -0.58628684 -0.15094323
  0.41251716  1.6411837  -0.28387976 -0.9190042 ]"
3748,4019,2,"[ 0.66949224  0.39532647  0.5344947   0.98235387  0.91808623  0.69161826
  0.35179424  0.95579576 -0.02988143 -0.18270224]"
3749,4020,1,"[ 0.3839337  -0.28958982 -0.39464438  1.436902    0.01084797 -1.4373097
  0.4001741   1.4712524  -0.6239383  -0.89959395]"
3750,4021,4,"[ 1.5409245   0.49459633  1.4838371  -0.11964609  0.9906945   1.2921408
 -0.2624561   0.28722033 -1.035361   -0.20826066]"
3751,4022,2,"[ 1.0424627   0.22232194  0.5420634  -0.5525042   0.36705425 -0.03171279
  0.5426833   1.5764005  -0.12263999  0.55187434]"
3752,4024,3,"[ 0.00401884 -0.50902724  0.24619228  0.50032514 -0.32121012  0.77522075
  0.67287374  1.6464765  -0.31368548 -1.1626393 ]"
3753,4025,1,"[-0.8900866  -0.5554153   0.8903839   0.66743815 -1.3589171   0.357965
  0.56382173  0.31937075 -0.6455348  -2.106161  ]"
3754,4026,3,"[ 0.50893635  0.9612587  -0.23997405  1.1335028  -0.32140416 -1.0999606
  0.05908616  0.01608372 -0.90900695 -1.7396387 ]"
3755,4027,3,"[-0.21586382 -0.62477016  0.6657593  -0.05295622 -0.21871814  0.32302937
  0.6909564   2.28479    -0.722322   -0.15065153]"
3756,4028,2,"[ 0.24387631  0.19871862  0.5271005   0.91836077  0.77423525  0.48246986
  0.14649485  0.43679193 -0.20667969 -0.68188214]"
3757,4029,3,"[-0.83488524 -1.415075   -0.24503754  0.425928    0.21291445 -0.07962842
 -0.2556649   2.4256299  -0.6506352  -1.1606946 ]"
3758,4030,3,"[ 0.6978226   0.5442848   0.94264096  0.49318197  0.70038587  0.48874828
 -0.53388953  0.5160118  -0.5751778  -0.4668941 ]"
3759,4031,1,"[ 1.2339331   0.8712801   1.361473    0.8359591   0.47737774  0.4180968
  0.37642923  0.7573967   0.00489432 -0.7059233 ]"
3760,4032,3,"[ 0.26533908 -0.11128955  1.0648499   1.2033436  -1.3753636   0.29379717
 -0.13990563  1.4784333  -0.5538772  -0.3701974 ]"
3761,4034,4,"[ 0.03067012  0.06675516  1.5231111   1.0993088  -0.48192275  0.5037999
  0.314611    2.353391    0.27068534  0.8611938 ]"
3762,4035,4,"[ 0.16996954 -0.46925956  1.2674836   1.0291649  -0.04743166  0.90272874
 -0.05311498  0.747693   -1.6245744  -0.22574273]"
3763,4036,2,"[ 0.15253927  0.01235066  0.05155788  0.6432898   1.2815902  -0.3795116
  0.2170585   1.6641905  -0.60213375  0.39968035]"
3764,4037,3,"[ 1.0750388  -0.63256365  0.47241843  0.3167319   0.26327422 -0.929507
 -0.07408035  1.4563909  -0.7334823  -0.8503338 ]"
3765,4038,2,"[ 0.4429656   0.07323322  0.31940892  1.0076001   0.6096463   0.7556113
  0.72980845  0.99748844 -0.40310025 -0.26818538]"
3766,4039,3,"[ 0.7372225  -0.45313358  0.87127596 -0.1435174  -1.1921082  -0.8546757
  0.3488334   1.070714   -1.60322    -0.12798966]"
3767,4040,2,"[ 1.0989981   0.672343    0.60451895  0.47497374 -0.28153515 -1.0253402
 -0.56954634  1.1537366  -0.61570746 -0.3961409 ]"
3768,4041,2,"[ 0.52828705 -0.29981875  1.7873576   1.4131502   0.12818776  0.35748434
  0.28201413  0.4913934  -1.5854255   0.83681846]"
3769,4042,2,"[ 0.603803    0.15681574 -0.5651202   1.0696249   0.919714   -0.15513963
  0.988348    0.5983456  -1.2283531  -0.08472116]"
3770,4043,3,"[ 0.32766792 -0.53214586  1.2435423   1.0240859   0.04383948  0.7837544
  0.36584437  1.1361583  -0.6902108  -0.83018386]"
3771,4044,2,"[ 0.40070912  0.24824573  0.45584843  1.1881139   0.54586184  0.5342623
  1.3262917   1.3716797  -1.067885   -0.31541544]"
3772,4045,2,"[ 0.6028251   0.30112445  1.3886504   1.0508708  -0.01420691 -0.04408211
  0.84769654  0.7152222   0.28360754 -0.9323777 ]"
